,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,YFP_astrin@kt/YFP_astrin@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:YFP_astrin@kt/YFP_astrin@cyto,condition,cell,Experiment
0,0_1,81.0,19804.87654320988,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,42265.61728395062,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.5782424027649753,0.9264528084315002,1.7035324286370996,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
1,0_2,37.0,23901.67567567568,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,39702.48648648649,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.4825324151120376,1.118097076123437,1.3259424845757912,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
2,0_3,16.0,20184.1875,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,36432.75,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.3604370311934335,0.9441966050373684,1.440840841764721,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
3,0_4,5.0,21463.2,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,46907.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.7515564930506313,1.0040275623300687,1.7445302885766958,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
4,0_6,25.0,24940.2,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,34000.8,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.2696254718680775,1.1666782311129926,1.0882396174109419,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
5,0_7,11.0,24392.181818181816,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,42268.181818181816,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.5783381651583133,1.1410424750652706,1.3832422540344331,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
6,0_8,5.0,24810.8,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,36639.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.3681386221434344,1.160625025320496,1.1787946944928536,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
7,0_9,5.0,21804.8,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,26549.8,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,0.9913973304452566,1.0200072771578648,0.9719512327477441,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
8,0_10,20.0,23745.7,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,41528.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.5506990010746076,1.1108006861428452,1.3960191242402535,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
9,0_11,5.0,21416.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,21377.102387697287,15390.495,33790.6,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,26780.18104817364,11675.5075,1.2617763837823066,1.001838303975441,1.2594611114142804,WildType,set5_WildT_cell_1,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinWT_GFP_mcherry_01_R3D_D3D
